aged_completion_rate_median,aged_completion_rate_peak,cell_id,chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_label,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,retryable_failure_rate_median,retryable_failure_rate_peak,run_dir,subscriber_p99_ms_median,subscriber_p99_ms_peak,system,worker_count
,,perf_w16_shared,,16.0,21.0,249.07546475713133,289.6262242654407,,,249.07544477711616,289.6262242654407,,,A,clean,clean,,,2.0,4.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T125327Z-a7a48b,,,oban,16
,,perf_w16_shared,,1965.0,2001.0,2048.0,2048.0,2030.5,2068.0,2048.0,2060.8,,,A,clean,clean,0.13671875,0.2421875,4000.0,4000.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T125327Z-a7a48b,1965.0,2001.0,pgboss,16
,,perf_w16_shared,,859.4490000000001,1383.4569999999999,268.2963069327169,276.44793141955535,,,269.8010717398019,277.44738164160725,,,A,clean,clean,,,135.0,244.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T125327Z-a7a48b,,,procrastinate,16
,,perf_w16_shared,,12798.5,13504.0,316.7923758095887,320.03530674308934,,,315.4007321408435,331.18292493699266,,,A,clean,clean,,,3983.5,4039.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T125327Z-a7a48b,,,river,16
,,perf_w16_pgque,,1876.0645,2385.4860000000003,11505.427768759775,11655.405358527187,1877.1675,2391.254,11280.231727035101,13782.88042695616,,,A,clean,clean,0.025077644968405366,0.11501787509769201,10000.0,20000.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T131543Z-e736e2,1876.0645,2385.4860000000003,pgque,16
,,perf_w16_pgmq,,388.5,772.0,11276.8,14195.2,458.0,943.0,11225.599999999999,14156.8,,,A,clean,clean,0.1094776362151606,0.9742565453052521,3872.0,4000.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T131940Z-51fa84,388.5,772.0,pgmq,16
0.0,0.0,perf_w64_shared,,1661.4389999999999,1889.279,5369.400012772881,7060.258582296533,1663.487,1890.303,5305.543647846267,7038.788724411328,,,A,clean,clean,0.296,0.427,4544.0,6464.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T132325Z-7cf315,1661.4389999999999,1889.279,awa,64
,,perf_w64_shared,,18852.5,21031.0,398.1,422.4,18853.5,21032.0,537.6,972.8,,,A,clean,clean,0.17449074948672205,0.21019081395934336,5568.0,7520.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T132325Z-7cf315,18852.5,21031.0,absurd,64
,,perf_w64_shared,,16.0,126.0,283.92964221467116,297.16227018385297,,,284.32940235858484,297.761790567546,,,A,clean,clean,,,2.0,4.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T132325Z-7cf315,,,oban,64
,,perf_w64_shared,,347.0,568.0,2387.2,3840.0,413.0,634.0,2368.0,3814.4,,,A,clean,clean,0.1953125,1.0859375,640.0,1536.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T132325Z-7cf315,347.0,568.0,pgboss,64
,,perf_w64_shared,,876.657,1488.076,269.0491305869133,274.65403402455075,,,270.27198331612067,276.45307791554126,,,A,clean,clean,,,102.5,226.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T132325Z-7cf315,,,procrastinate,64
